Rover ID,Latitude,Longitude,Timestamp
hair,"-10° -49' -43.20"" N","129° 50' 58.30"" E",2023-07-11 11:44:51
member,"-8° -4' -50.49"" N","93° 54' 24.47"" E",2023-09-04 15:43:22
author,"10° 47' 32.43"" N","155° 18' 26.94"" E",2023-02-23 03:24:06
property,"58° 3' 59.23"" N","-23° -58' -19.11"" E",2023-05-27 17:12:18
enough,"-37° -25' -14.27"" N","-53° -18' -55.41"" E",2023-03-19 03:22:27
rule,"-86° -28' -26.01"" N","-27° -56' -27.12"" E",2023-09-20 21:25:59
country,"-74° -50' -33.90"" N","75° 8' 54.23"" E",2023-08-05 09:11:57
listen,"10° 53' 56.50"" N","-54° -28' -20.78"" E",2023-06-14 18:19:06
even,"-61° -42' -28.68"" N","98° 7' 55.75"" E",2023-11-17 22:43:55
best,"-79° -38' -7.40"" N","39° 12' 33.56"" E",2023-03-14 08:02:00
mouth,"8° 3' 58.54"" N","142° 18' 52.06"" E",2023-03-26 21:10:09
pass,"55° 28' 15.66"" N","108° 26' 3.63"" E",2023-10-12 06:49:54
thought,"-29° -36' -9.77"" N","-11° -52' -27.33"" E",2023-06-20 21:21:57
camera,"62° 15' 4.91"" N","3° 44' 12.42"" E",2023-06-04 02:39:22
spring,"-88° -34' -53.84"" N","120° 46' 15.12"" E",2023-11-12 08:46:09
pattern,"-36° -8' -44.61"" N","-99° -43' -13.03"" E",2023-04-29 11:36:34
direction,"5° 40' 37.73"" N","-139° -43' -16.10"" E",2023-07-07 02:55:02
control,"7° 45' 7.05"" N","15° 28' 46.55"" E",2023-03-03 13:35:11
management,"88° 44' 53.31"" N","-133° -44' -9.95"" E",2023-01-31 06:07:36
here,"-44° -12' -29.24"" N","131° 5' 17.50"" E",2023-09-14 19:34:37
control,"6° 34' 25.11"" N","-127° -11' -59.52"" E",2023-09-24 03:07:28
laugh,"17° 37' 53.32"" N","-4° -49' -44.17"" E",2023-10-09 06:03:27
