Rover ID,Latitude,Longitude,Timestamp
billion,"-41° -20' -49.84"" N","-138° -55' -1.67"" E",2023-02-16 09:27:42
around,"-46° -40' -24.26"" N","-52° -26' -17.36"" E",2023-01-06 05:23:01
cover,"0° 6' 26.68"" N","16° 59' 32.45"" E",2023-02-17 07:04:02
address,"-29° -53' -18.28"" N","76° 16' 46.41"" E",2023-04-04 02:21:00
not,"89° 0' 54.44"" N","115° 49' 30.52"" E",2023-03-04 12:48:29
deep,"-58° -55' -17.73"" N","-15° -2' -19.76"" E",2023-10-08 09:40:01
they,"12° 28' 0.16"" N","176° 41' 10.21"" E",2023-03-01 08:12:59
cold,"0° 44' 41.77"" N","-109° -17' -25.63"" E",2023-07-31 22:20:10
history,"-76° -3' -18.76"" N","-77° -39' -47.73"" E",2023-06-15 23:33:51
share,"75° 27' 38.58"" N","70° 3' 41.90"" E",2023-07-25 11:59:03
listen,"32° 45' 45.45"" N","-15° -55' -39.19"" E",2023-08-21 13:12:37
road,"-65° -49' -47.06"" N","141° 46' 47.82"" E",2023-02-16 06:20:37
mention,"-68° -38' -12.90"" N","23° 36' 17.21"" E",2023-09-28 17:01:08
serve,"-52° -25' -29.76"" N","-63° -10' -42.13"" E",2023-11-09 15:35:28
dark,"64° 28' 11.33"" N","-153° -22' -48.33"" E",2023-08-24 04:21:44
himself,"-40° -19' -32.33"" N","85° 55' 13.02"" E",2023-02-17 21:53:54
one,"-83° -4' -54.81"" N","-34° -19' -21.81"" E",2023-04-15 05:48:31
value,"-58° -50' -29.60"" N","97° 59' 40.75"" E",2023-01-16 23:57:27
sometimes,"-35° -24' -23.41"" N","78° 58' 52.78"" E",2023-12-11 01:05:42
pay,"-49° -44' -28.32"" N","-155° -26' -47.17"" E",2023-03-10 00:43:18
cell,"-12° -54' -55.86"" N","134° 39' 9.84"" E",2023-10-27 23:54:27
how,"-15° -58' -27.76"" N","-169° -36' -55.04"" E",2023-08-03 10:17:13
get,"48° 48' 53.45"" N","-85° -53' -47.31"" E",2023-05-26 00:41:42
enough,"-44° -1' -29.17"" N","36° 2' 42.93"" E",2023-05-04 04:42:27
already,"17° 46' 6.35"" N","-21° -19' -17.86"" E",2023-08-14 13:14:43
per,"32° 26' 40.36"" N","31° 41' 21.12"" E",2023-10-04 20:20:37
service,"36° 43' 8.52"" N","86° 38' 53.51"" E",2023-06-27 05:09:58
